page_url	page_path	clicks	impressions	in_legacy_inventory	legacy_candidate_count	legacy_example	priority	reason	target_url	recommended_action
https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed	/blog/top-modelling-agencies-brisbane-how-to-get-signed	145	12291	1	1	/blog/top-modelling-agencies-brisbane-how-to-get-signed.html	P0	exact_path_preservation	https://www.dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed	migrate_page_content
https://dave-blake.com/	/	138	2626	1	1	/	P0	exact_path_preservation	https://www.dave-blake.com/	migrate_page_content
https://dave-blake.com/photographer/brisbane-fashion-photographer	/photographer/brisbane-fashion-photographer	25	1719	1	1	/photographer/brisbane-fashion-photographer.html	P1	exact_path_preservation	https://www.dave-blake.com/photographer/brisbane-fashion-photographer	migrate_page_content
https://dave-blake.com/model-tests	/model-tests	19	1555	1	1	/model-tests.html	P1	exact_path_preservation	https://www.dave-blake.com/model-tests	migrate_page_content
https://dave-blake.com/services/model-portfolios/brisbane	/services/model-portfolios/brisbane	17	408	1	1	/services/model-portfolios/brisbane.html	P1	exact_path_preservation	https://www.dave-blake.com/services/model-portfolios/brisbane	migrate_page_content
https://dave-blake.com/model-test-shoots/brisbane	/model-test-shoots/brisbane	15	800	1	1	/model-test-shoots/brisbane.html	P1	exact_path_preservation	https://www.dave-blake.com/model-test-shoots/brisbane	migrate_page_content
https://dave-blake.com/photographer/swimwear-photography-sydney	/photographer/swimwear-photography-sydney	11	137	1	1	/photographer/swimwear-photography-sydney.html	P1	exact_path_preservation	https://www.dave-blake.com/photographer/swimwear-photography-sydney	migrate_page_content
https://dave-blake.com/services/model-portfolios/byron-bay	/services/model-portfolios/byron-bay	10	381	1	1	/services/model-portfolios/byron-bay.html	P1	exact_path_preservation	https://www.dave-blake.com/services/model-portfolios/byron-bay	migrate_page_content
https://dave-blake.com/portfolio/fashion	/portfolio/fashion	5	332	1	1	/portfolio/fashion.html	P2	exact_path_preservation	https://www.dave-blake.com/portfolio/fashion	migrate_page_content
https://dave-blake.com/blog	/blog	4	167	1	2	/blog.html	P2	exact_path_preservation	https://www.dave-blake.com/blog	migrate_page_content
https://dave-blake.com/gift-card/model-portfolio-gift-card-brisbane-byron-bay	/gift-card/model-portfolio-gift-card-brisbane-byron-bay	4	115	1	1	/gift-card/model-portfolio-gift-card-brisbane-byron-bay.html	P2	exact_path_preservation	https://www.dave-blake.com/gift-card/model-portfolio-gift-card-brisbane-byron-bay	migrate_page_content
https://dave-blake.com/story/2017/11/8/annie-ericson-pools-of-blue	/story/2017/11/8/annie-ericson-pools-of-blue	4	32	1	1	/story/2017/11/8/annie-ericson-pools-of-blue.html	P2	exact_path_preservation	https://www.dave-blake.com/story/2017/11/8/annie-ericson-pools-of-blue	migrate_page_content
https://dave-blake.com/photographer	/photographer	3	262	1	2	/photographer.html	P2	exact_path_preservation	https://www.dave-blake.com/photographer	migrate_page_content
