old_file	new_file	kept_as_master
1441113171591-WBHP30TT952A1Q1QCS0S--dave-blake-photographer-apple-content-type-image-png.png	-2--144111317159.jpg	yes
1441180547530-K7RX78RXL1TER8DL8WD8--favicon.ico.png	-2--144118054753.jpg	yes
1502955158484-KA9PA53S3TYLUV3DUPBW--image-asset-format-1500w.jpeg	-2--150295515848.jpg	no
1502955158484-KA9PA53S3TYLUV3DUPBW--image-asset-format-750w.jpeg	-2--150295515848.jpg	no
1502955158484-KA9PA53S3TYLUV3DUPBW--image-asset.jpeg	-2--150295515848.jpg	yes
1611560914080-ZZ6KJNJ610CZSBNLOPP6--image-asset-format-2500w.jpeg	-2--161156091408.jpg	no
1611560914080-ZZ6KJNJ610CZSBNLOPP6--image-asset-format-750w.jpeg	-2--161156091408.jpg	yes
1611560914080-ZZ6KJNJ610CZSBNLOPP6--image-asset.jpeg	-2--161156091408.jpg	no
1656661358573-5953X4SBGWFCF04QM1FP--image-asset-format-1500w.jpeg	-2--165666135857.jpg	no
1656661358573-5953X4SBGWFCF04QM1FP--image-asset-format-750w.jpeg	-2--165666135857.jpg	no
1656661358573-5953X4SBGWFCF04QM1FP--image-asset.jpeg	-2--165666135857.jpg	yes
1669287554003-SZ4JD1NKQGHB7B75JOJO--image-asset-format-2500w.jpeg	-2--166928755400.jpg	no
1669287554003-SZ4JD1NKQGHB7B75JOJO--image-asset-format-750w.jpeg	-2--166928755400.jpg	yes
1669287554003-SZ4JD1NKQGHB7B75JOJO--image-asset.jpeg	-2--166928755400.jpg	no
1692800565206-06Y60T9Z8YH5TMBJDRH6--DaveBlake_NYFW-OliviaVinten-001-format-1500w.jpg	-2--169280056520.jpg	no
1692800565206-06Y60T9Z8YH5TMBJDRH6--DaveBlake_NYFW-OliviaVinten-001-format-750w.jpg	-2--169280056520.jpg	no
1692800565206-06Y60T9Z8YH5TMBJDRH6--DaveBlake_NYFW-OliviaVinten-001.jpg	-2--169280056520.jpg	yes
1692800620152-5G35S7JQJD1YPTZC7GJC--DaveBlake_BB-TestShoot-80sShorts-001-format-2500w.jpg	-2--169280062015.jpg	yes
1692800620152-5G35S7JQJD1YPTZC7GJC--DaveBlake_BB-TestShoot-80sShorts-001-format-750w.jpg	-2--169280062015.jpg	no
1692800620152-5G35S7JQJD1YPTZC7GJC--DaveBlake_BB-TestShoot-80sShorts-001.jpg	-2--169280062015.jpg	no
1692800667481-OCVWRTRSTFDF9SIQBXL1--DaveBlake_BeautyShoot-LongLensTribute-001-format-1500w.jpg	-2--169280066748.jpg	no
1692800667481-OCVWRTRSTFDF9SIQBXL1--DaveBlake_BeautyShoot-LongLensTribute-001-format-750w.jpg	-2--169280066748.jpg	no
1692800667481-OCVWRTRSTFDF9SIQBXL1--DaveBlake_BeautyShoot-LongLensTribute-001.jpg	-2--169280066748.jpg	yes
1692800746061-WOA4AGUF3MFCQVN3UBX5--DaveBlake_DenimShoot-JaseMotorcycle-001-format-1500w.jpg	-2--169280074606.jpg	no
1692800746061-WOA4AGUF3MFCQVN3UBX5--DaveBlake_DenimShoot-JaseMotorcycle-001-format-750w.jpg	-2--169280074606.jpg	no
1692800746061-WOA4AGUF3MFCQVN3UBX5--DaveBlake_DenimShoot-JaseMotorcycle-001.jpg	-2--169280074606.jpg	yes
1692800784230-5SKHSED1F9H4XNWPMPDP--DaveBlake_FieldShoot-KateHorse-001-format-1500w.jpg	-2--169280078423.jpg	yes
1692800784230-5SKHSED1F9H4XNWPMPDP--DaveBlake_FieldShoot-KateHorse-001-format-750w.jpg	-2--169280078423.jpg	no
1692800784230-5SKHSED1F9H4XNWPMPDP--DaveBlake_FieldShoot-KateHorse-001.jpg	-2--169280078423.jpg	no
1692800855501-5H733OVBLCRWUIDAC4MM--DaveBlake_GC-TestShoot-MichelleB-001-format-2500w.jpg	-2--169280085550.jpg	yes
1692800855501-5H733OVBLCRWUIDAC4MM--DaveBlake_GC-TestShoot-MichelleB-001-format-750w.jpg	-2--169280085550.jpg	no
1692800855501-5H733OVBLCRWUIDAC4MM--DaveBlake_GC-TestShoot-MichelleB-001.jpg	-2--169280085550.jpg	no
1692800876558-EVOHXGVWGJD6XG4TSPM0--DaveBlake_GrittyPrettyShoot-BackDetail-001-format-1500w.jpg	-2--169280087655.jpg	yes
1692800876558-EVOHXGVWGJD6XG4TSPM0--DaveBlake_GrittyPrettyShoot-BackDetail-001-format-750w.jpg	-2--169280087655.jpg	no
1692800876558-EVOHXGVWGJD6XG4TSPM0--DaveBlake_GrittyPrettyShoot-BackDetail-001.jpg	-2--169280087655.jpg	no
1692800957808-F2BMYBPHQFS32CFD99CD--DaveBlake_StudioBW-AnishaProfile-001-format-2500w.jpg	-2--169280095780.jpg	no
1692800957808-F2BMYBPHQFS32CFD99CD--DaveBlake_StudioBW-AnishaProfile-001-format-750w.jpg	-2--169280095780.jpg	no
1692800957808-F2BMYBPHQFS32CFD99CD--DaveBlake_StudioBW-AnishaProfile-001.jpg	-2--169280095780.jpg	yes
1692800996989-PQ60YTCIJOFSZAEB1DUW--image-asset-format-1500w.jpeg	-2--169280099698.jpg	no
1692800996989-PQ60YTCIJOFSZAEB1DUW--image-asset-format-750w.jpeg	-2--169280099698.jpg	no
1692800996989-PQ60YTCIJOFSZAEB1DUW--image-asset.jpeg	-2--169280099698.jpg	yes
1692801026986-VROMPKVDBMIA5606LUGD--DaveBlake_StudioShoot-BelleVive-001-format-1500w.jpg	-2--169280102698.jpg	no
1692801026986-VROMPKVDBMIA5606LUGD--DaveBlake_StudioShoot-BelleVive-001-format-750w.jpg	-2--169280102698.jpg	no
1692801026986-VROMPKVDBMIA5606LUGD--DaveBlake_StudioShoot-BelleVive-001.jpg	-2--169280102698.jpg	yes
1692801053992-RKFLHS138APOX3ZXT8T0--DaveBlake_SwimwearShoot-ElleTimeless-001-format-1500w.jpg	-2--169280105399.jpg	yes
1692801053992-RKFLHS138APOX3ZXT8T0--DaveBlake_SwimwearShoot-ElleTimeless-001-format-750w.jpg	-2--169280105399.jpg	no
1692801053992-RKFLHS138APOX3ZXT8T0--DaveBlake_SwimwearShoot-ElleTimeless-001.jpg	-2--169280105399.jpg	no
1694271713315-0V9AMVWGQ1MGJUVV5LS3--DaveBlake_EktachromeShoot-BronteSun-001-1-format-1500w.jpg	-2--169427171331.jpg	no
