"page","query","clicks","impressions","ctr","position"
"https://dave-blake.com/","the blake nyc",0,1,0,84
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/8-hour-mentor-package","beginner photography mentoring",0,1,0,99
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/8-hour-mentor-package","mentor photography",0,4,0,66.75
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/8-hour-mentor-package","mentorship photography",0,3,0,100
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/8-hour-mentor-package","photo mentorship",0,1,0,86
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/8-hour-mentor-package","photographer mentor",0,13,0,71.84615384615384
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/8-hour-mentor-package","photographer mentorship",0,4,0,65.5
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/8-hour-mentor-package","photography mentor",0,228,0,85.8201754385965
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/8-hour-mentor-package","photography mentoring",0,133,0,82.736842105263165
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/8-hour-mentor-package","photography mentors",0,9,0,81.222222222222229
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/8-hour-mentor-package","photography mentorship",0,28,0,97.428571428571431
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/8-hour-mentor-package","photography mentorships",0,4,0,94
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/per-hour","photography mentor",0,75,0,81.32
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/per-hour","photography mentoring",0,5,0,69
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/per-hour","photography mentoring program",0,1,0,76
"https://dave-blake.com/buy/gift-card/photographer-mentoring-training-workshops/per-hour","photography mentors",0,1,0,79
"https://dave-blake.com/byron-bay-photography-equipment-rental","byron bay camera",0,1,0,66
"https://dave-blake.com/byron-bay-photography-equipment-rental","camera and equipment rental",0,2,0,80.5
"https://dave-blake.com/byron-bay-photography-equipment-rental","equipment hire byron bay",0,10,0,50.8
"https://dave-blake.com/byron-bay-photography-equipment-rental","film equipment hire",0,86,0,91.360465116279073
"https://dave-blake.com/byron-bay-photography-equipment-rental","film equipment rental",0,4,0,98.75
"https://dave-blake.com/byron-bay-photography-equipment-rental","hire profoto equipment",0,10,0,78.1
"https://dave-blake.com/byron-bay-photography-equipment-rental","photo equipment hire",0,1,0,94
"https://dave-blake.com/byron-bay-photography-equipment-rental","photography equipment list and prices",0,1,0,96
"https://dave-blake.com/byron-bay-photography-equipment-rental","photography lighting rental near me",0,1,0,11
"https://dave-blake.com/byron-bay-photography-equipment-rental","photoshoot equipment rental",0,4,0,57
"https://dave-blake.com/byron-bay-photography-equipment-rental","stroller hire byron bay",0,4,0,61
"https://dave-blake.com/byron-bay-photography-equipment-rental","video camera rental",0,1,0,162
"https://dave-blake.com/faces-of-fashion-week/nyfw/2019","olivia vinten",0,2,0,1
"https://dave-blake.com/fashion-week-1/2017/5/29/fashion-week-virgin-mbfwa-2017-7axhp","tash sefton age",0,1,0,75
"https://dave-blake.com/fashion-week-1/tag/Annabella+Barber","annabella barber",0,9,0,35.444444444444443
"https://dave-blake.com/fashion-week-1/tag/Annabella+Barber","carriageworks bay 22-24",0,1,0,57
"https://dave-blake.com/fashion-week-1/tag/Annabella+Barber","hansen and gretel david jones",0,1,0,79
"https://dave-blake.com/fashion-week-1/tag/Jordan+Barrett","chloe worthington",0,2,0,6.5
"https://dave-blake.com/fashion-week-1/tag/Jordan+Barrett","jordan barrett balenciaga",0,2,0,18
"https://dave-blake.com/fashion-week-1/tag/Jordan+Barrett","jordan barrett fashion show",0,3,0,58.333333333333336
"https://dave-blake.com/fashion-week-1/tag/Jordan+Barrett","jordan barrett house",0,1,0,88
"https://dave-blake.com/fashion-week-1/tag/Jordan+Barrett","jordan barrett model",0,1,0,87
"https://dave-blake.com/fashion-week-1/tag/Jordan+Barrett","jordan barrett runway",0,4,0,40.25
"https://dave-blake.com/fashion-week-1/tag/Lucy+Markovic","bianca markovic",0,5,0,76.2
"https://dave-blake.com/fashion-week-1/tag/Lucy+Markovic","hansen and gretel david jones",0,1,0,66
"https://dave-blake.com/fashion-week-1/tag/Lucy+Markovic","lucy markovic",0,17,0,43.705882352941174
"https://dave-blake.com/fashion-week-1/tag/Lucy+Markovic","lucy markovic model",0,1,0,73
"https://dave-blake.com/fashion-week-1/tag/Roberta+Pecoraro","jessica pecoraro",0,1,0,89
"https://dave-blake.com/fashion-week-1/tag/Roberta+Pecoraro","ollie picton jones",0,2,0,78.5
"https://dave-blake.com/fashion-week-1/tag/Roberta+Pecoraro","roberta pecoraro",0,4,0,64
"https://dave-blake.com/gallery/story/personal/chaye-unfolding","chaye hartwell",0,13,0,12.307692307692308
"https://dave-blake.com/gosees","frankie bon scotney",0,5,0,17.6
"https://dave-blake.com/gosees","model go see",0,2,0,55.5
"https://dave-blake.com/gosees","siobhan mcgroarty nude",0,2,0,7
"https://dave-blake.com/home","blake daves",0,3,0,6
"https://dave-blake.com/home","dave blake",0,144,0,5.9375
"https://dave-blake.com/home","dave photography",0,4,0,25.5
"https://dave-blake.com/home","fashion photographer sydney",0,1,0,4
"https://dave-blake.com/model","beth hells kitchen",0,2,0,86.5
"https://dave-blake.com/model","julia cavanagh",0,17,0,12.941176470588236
"https://dave-blake.com/model","julia cavanagh age",0,4,0,2.75
"https://dave-blake.com/model","julia cavanagh model",0,2,0,3
"https://dave-blake.com/model","que models",0,1,0,45
"https://dave-blake.com/model-portfolios-1","beth claverie",0,14,0,51.785714285714285
"https://dave-blake.com/model-portfolios-1","beth hurrell",0,1,0,44
"https://dave-blake.com/model-portfolios-1","dave blake",0,1,0,54
"https://dave-blake.com/model-portfolios-1","hannah claverie",0,3,0,39.666666666666664
"https://dave-blake.com/model-portfolios-1","maja elmstrom",0,21,0,25.857142857142858
"https://dave-blake.com/model-portfolios-1","michelle bagarra",0,1,0,34
"https://dave-blake.com/model-portfolios-1","michelle bagarra nude",0,2,0,36
"https://dave-blake.com/model-portfolios-1","mollye rogel",0,4,0,28
"https://dave-blake.com/model-portfolios-1","victoria germyn",0,11,0,4
"https://dave-blake.com/model-portfolios-1","victoria germyn model",0,1,0,1
"https://dave-blake.com/model-portfolios/byron-bay","byron anderson model",0,8,0,1
