asset_ref	kind	host	local_candidate	exists
../../fonts.googleapis.com/css2%EF%B9%96family=Playfair+Display%EF%B9%95ital,wght@0,400%EF%B9%941,400%EF%B9%941,700.css	relative	dave-blake.com	/Users/daveblake/site-backups/dave-blake-sspro/dave-blake.com/photographer/../../fonts.googleapis.com/css2%EF%B9%96family=Playfair+Display%EF%B9%95ital,wght@0,400%EF%B9%941,400%EF%B9%941,700.css	0
../../images.squarespace-cdn.com/content/54b09e7ce4b0755e628b618e/1441113171591-WBHP30TT952A1Q1QCS0S/dave-blake-photographer-apple%EF%B9%96content-type=image%EA%A4%B7png.png	relative	dave-blake.com	/Users/daveblake/site-backups/dave-blake-sspro/dave-blake.com/photographer/../../images.squarespace-cdn.com/content/54b09e7ce4b0755e628b618e/1441113171591-WBHP30TT952A1Q1QCS0S/dave-blake-photographer-apple%EF%B9%96content-type=image%EA%A4%B7png.png	0
../../images.squarespace-cdn.com/content/54b09e7ce4b0755e628b618e/1587709909870-VN92YJQWYZSRGCEGX03M/sarah-shaw-015+by+Dave+Blake++++++++++++++++++++++++++++++++++++++++++++_20151209__raw-proof+1%EF%B9%96format=1500w&content-type=image%EA%A4%B7jpeg.jpg	relative	dave-blake.com	/Users/daveblake/site-backups/dave-blake-sspro/dave-blake.com/photographer/../../images.squarespace-cdn.com/content/54b09e7ce4b0755e628b618e/1587709909870-VN92YJQWYZSRGCEGX03M/sarah-shaw-015+by+Dave+Blake++++++++++++++++++++++++++++++++++++++++++++_20151209__raw-proof+1%EF%B9%96format=1500w&content-type=image%EA%A4%B7jpeg.jpg	0
../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1592799631383-GDAVRVZUOHJ12VEFAIYK/image-asset.jpeg%EF%B9%96format=2500w.webp	relative	dave-blake.com	/Users/daveblake/site-backups/dave-blake-sspro/dave-blake.com/photographer/../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1592799631383-GDAVRVZUOHJ12VEFAIYK/image-asset.jpeg%EF%B9%96format=2500w.webp	0
../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1601777608560-MO4UO930ZHCXGRDHJLYN/1_Dior-Johansen_80s-Beauty+by+Dave+Blake_35mm-Kodak-Ektachrome-E100-cross-processed.jpg%EF%B9%96format=2500w.webp	relative	dave-blake.com	/Users/daveblake/site-backups/dave-blake-sspro/dave-blake.com/photographer/../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1601777608560-MO4UO930ZHCXGRDHJLYN/1_Dior-Johansen_80s-Beauty+by+Dave+Blake_35mm-Kodak-Ektachrome-E100-cross-processed.jpg%EF%B9%96format=2500w.webp	0
../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1602029701156-JX88YCLUASXRG58YC1PQ/4_159-Michelle-Bagarra+1+by+Dave+Blake_PERSONAL_2020_Editorial_Miami+Beach_retouched+by+Dave+Blake.jpg%EF%B9%96format=2500w.webp	relative	dave-blake.com	/Users/daveblake/site-backups/dave-blake-sspro/dave-blake.com/photographer/../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1602029701156-JX88YCLUASXRG58YC1PQ/4_159-Michelle-Bagarra+1+by+Dave+Blake_PERSONAL_2020_Editorial_Miami+Beach_retouched+by+Dave+Blake.jpg%EF%B9%96format=2500w.webp	0
../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1607655650845-9RJTVU633MBXQS2U50YE/1_001a-loli-watson+by+Dave+Blake+2020+Byron+Bay+copy.jpg%EF%B9%96format=2500w.webp	relative	dave-blake.com	/Users/daveblake/site-backups/dave-blake-sspro/dave-blake.com/photographer/../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1607655650845-9RJTVU633MBXQS2U50YE/1_001a-loli-watson+by+Dave+Blake+2020+Byron+Bay+copy.jpg%EF%B9%96format=2500w.webp	0
../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1615170069337-TWN10JJLC41VHDYNN3UW/30_Chaye+Hartwell+by+Dave+Blake__N012628_Byron+Bay_2021.jpg%EF%B9%96format=2500w.webp	relative	dave-blake.com	/Users/daveblake/site-backups/dave-blake-sspro/dave-blake.com/photographer/../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1615170069337-TWN10JJLC41VHDYNN3UW/30_Chaye+Hartwell+by+Dave+Blake__N012628_Byron+Bay_2021.jpg%EF%B9%96format=2500w.webp	0
../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1638764030377-DX27X196LYW9IER8XG5C/Stitch+&+Hide+X+Andy+Kovszun+by+Dave+Blake+stitchandhide_1254_Byron+Bay_2021.jpg%EF%B9%96format=2500w.webp	relative	dave-blake.com	/Users/daveblake/site-backups/dave-blake-sspro/dave-blake.com/photographer/../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1638764030377-DX27X196LYW9IER8XG5C/Stitch+&+Hide+X+Andy+Kovszun+by+Dave+Blake+stitchandhide_1254_Byron+Bay_2021.jpg%EF%B9%96format=2500w.webp	0
../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1641362961473-YTD6T2G8XX5Q2UT6AN2Q/Craig+Ruddy+by+Dave+Blake+craig-ruddy_080_Byron+Bay_2021.jpg%EF%B9%96format=2500w.webp	relative	dave-blake.com	/Users/daveblake/site-backups/dave-blake-sspro/dave-blake.com/photographer/../../images.squarespace-cdn.com/content/v1/54b09e7ce4b0755e628b618e/1641362961473-YTD6T2G8XX5Q2UT6AN2Q/Craig+Ruddy+by+Dave+Blake+craig-ruddy_080_Byron+Bay_2021.jpg%EF%B9%96format=2500w.webp	0
